Symbol,Company Name,Current Price,PE,Market Capital,FFMC,Outstanding Shares,Basic Industry,Industry,Macro,Sectoral Index,Sectoral PE,Status
RELIANCE,Reliance Industries Limited,2409.7,38.91,163027973.76,83109311.1505824,6765488391,Refineries & Marketing,Refineries & Marketing,Energy,NIFTY 500                                         ,21.73,Active
TCS,Tata Consultancy Services Limited,3377.95,31.28,123600925.85,34545762.6417401,3659051373,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
HDFCBANK,HDFC Bank Limited,1628.35,21.4,90844863.69,71692927.0416953,5578951926,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
INFY,Infosys Limited,1506.6,27.62,62488562.62,55188201.760989,4147654495,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
ICICIBANK,ICICI Bank Limited,868.6,20.84,60637878.55,60537840.8414325,6981105060,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
HINDUNILVR,Hindustan Unilever Limited,2486,59.63,58410838.77,22185851.0200467,2349591262,Diversified FMCG,Diversified FMCG,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
SBIN,State Bank of India,561.8,11.13,50138469.85,21555703.9672475,8924611934,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
HDFC,Housing Development Finance Corporation Limited,2671.15,31.91,48831971.84,48234433.9535487,1828125408,Housing Finance Company,Housing Finance Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
BHARTIARTL,Bharti Airtel Limited,768.05,0,42808141.88,19195581.6299799,5573613942,Telecom - Cellular & Fixed line services,Telecom - Cellular & Fixed line services,Telecommunication,NIFTY 500                                         ,21.73,Active
ADANIENT,Adani Enterprises Limited,1982,152.12,22594822.22,5425219.7347941995,1140001121,Trading - Minerals,Trading - Minerals,Commodities,NIFTY 500                                         ,21.73,Active
LICI,Life Insurance Corporation Of India,611,NA,38645735.95,1547473.9375267,6324997701,Life Insurance,Life Insurance,Financial Services,NA,NA,Active
ITC,ITC Limited,388.5,26.76,48248118.78,34206647.9477967,12419078192,Diversified FMCG,Diversified FMCG,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
ATGL,Adani Total Gas Limited,820.35,NA,9022292.02,2255573.0039726,1099810083,LPG/CNG/PNG/LNG Supplier,LPG/CNG/PNG/LNG Supplier,Energy,NA,NA,Active
BAJFINANCE,Bajaj Finance Limited,6137.5,37.99,37158219.18,16342557.1323082,605429233,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
KOTAKBANK,Kotak Mahindra Bank Limited,1750.55,34.05,34773663.25,25383242.554609,1986442161,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
ADANIGREEN,Adani Green Energy Limited,589.8,0,9342623.56,2055377.1821537,1584032478,Power Generation,Power Generation,Utilities,NIFTY 500                                         ,21.73,Active
ASIANPAINT,Asian Paints Limited,2861.6,71.99,27448403.96,12914049.137919199,959197790,Paints,Paints,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
LT,Larsen & Toubro Limited,2140,39.04,30076340.54,25878220.444523998,1405436474,Civil Construction,Civil Construction,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
ADANITRANS,Adani Transmission Limited,781.35,605.73,8715902.08,2178975.5196551,1115492683,Power - Transmission,Power - Transmission,Utilities,NIFTY 500                                         ,21.73,Active
AXISBANK,Axis Bank Limited,859.95,17.49,26452895.62,23256646.7120064,3076096938,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
HCLTECH,HCL Technologies Limited,1128,26.14,30610142.28,11924197.2082865,2713665096,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
DMART,Avenue Supermarts Limited,3451,89.11,22354704.59,4898297.3141754,647774691,Diversified Retail,Diversified Retail,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
MARUTI,Maruti Suzuki India Limited,8640,35.77,26099717.18,11472511.3091028,302080060,Passenger Cars & Utility Vehicles,Passenger Cars & Utility Vehicles,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
BAJAJFINSV,Bajaj Finserv Limited,1385,291.76,13236296.47,7477822.5963712,955689276,Holding Company,Holding Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
SUNPHARMA,Sun Pharmaceutical Industries Limited,965.25,249.73,23159580.8,10421811.3590663,2399334970,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
TITAN,Titan Company Limited,2403.4,68.79,21337052.57,10028623.337384399,887786160,Gems Jewellery And Watches,Gems Jewellery And Watches,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
WIPRO,Wipro Limited,393.3,16.95,21582144.92,5833114.5592913,5487451034,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
ULTRACEMCO,UltraTech Cement Limited,7214.95,35.93,20828304.17,8314603.9907304,288682585,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
JSWSTEEL,JSW Steel Limited,675.2,34.82,16321072.41,6356262.4385130005,2417220440,Iron & Steel,Iron & Steel,Commodities,NIFTY METAL                                       ,12.23,Active
ONGC,Oil & Natural Gas Corporation Limited,158.2,4.06,19902001.7,6169620.5282065,12580279206,Oil Exploration & Production,Oil Exploration & Production,Energy,NIFTY 500                                         ,21.73,Active
ADANIPORTS,Adani Ports and Special Economic Zone Limited,688,0,14861755.94,5222405.9169056,2160138945,Port & Port services,Port & Port services,Services,NIFTY 500                                         ,21.73,Active
NTPC,NTPC Limited,176.65,9.78,17129160.73,8400415.805206899,9696666134,Power Generation,Power Generation,Utilities,NIFTY INFRASTRUCTURE                              ,21.24,Active
M&M,Mahindra & Mahindra Limited,1274.9,24.88,15853749.07,12161487.549941001,1243528831,Passenger Cars & Utility Vehicles,Passenger Cars & Utility Vehicles,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
POWERGRID,Power Grid Corporation of India Limited,227.25,10.03,15851716.63,7763923.1784822,6975452864,Power - Transmission,Power - Transmission,Utilities,NIFTY 500                                         ,21.73,Active
COALINDIA,Coal India Limited,225.05,8.89,13869220.1,4712391.8425238,6162728327,Coal,Coal,Energy,NIFTY 500                                         ,21.73,Active
TATASTEEL,Tata Steel Limited,105.85,6.77,12936150.67,8521727.4441981,12221209890,Iron & Steel,Iron & Steel,Commodities,NIFTY METAL                                       ,12.23,Active
HINDZINC,Hindustan Zinc Limited,311.95,12.13,13180882.62,790852.95723,4225319000,Zinc,Zinc,Commodities,NIFTY METAL                                       ,12.23,Active
PIDILITIND,Pidilite Industries Limited,2352.85,91.75,11959871.6,3585107.291415,508314240,Specialty Chemicals,Specialty Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
LTIM,LTIMindtree Limited,4822,NA,14264345.5,4420920.4962739,295818032,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NA,NA,Active
TATAMOTORS,Tata Motors Limited,440.5,318.78,14630521.75,7893179.0927104,3321344325,Passenger Cars & Utility Vehicles,Passenger Cars & Utility Vehicles,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
SBILIFE,SBI Life Insurance Company Limited,1132.1,0,11330948.77,5083142.3287205,1000878789,Life Insurance,Life Insurance,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
HDFCLIFE,HDFC Life Insurance Company Limited,490,0,10531807.01,4845723.3920235,2149348369,Life Insurance,Life Insurance,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
ADANIPOWER,Adani Power Limited,177.75,0,6855708.97,1371141.7935255,3856938941,Power Generation,Power Generation,Utilities,NIFTY INFRASTRUCTURE                              ,21.24,Active
VEDL,Vedanta Limited,287.15,5.83,10673937.04,3199950.7927232003,3717199039,Diversified Metals,Diversified Metals,Commodities,NIFTY 500                                         ,21.73,Active
GRASIM,Grasim Industries Limited,1597,33.92,10515161.05,5999181.6863852,658432126,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY 500                                         ,21.73,Active
IOC,Indian Oil Corporation Limited,79.35,9.16,11205202.66,3021591.9830024,14121238383,Refineries & Marketing,Refineries & Marketing,Energy,NIFTY 500                                         ,21.73,Active
HINDALCO,Hindalco Industries Limited,414.5,22.88,9314621.55,6054504.0106363,2247194585,Aluminium,Aluminium,Commodities,NIFTY 500                                         ,21.73,Active
AMBUJACEM,Ambuja Cements Limited,384.8,62.06,7640762.84,2832225.0723842,1985645229,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
BRITANNIA,Britannia Industries Limited,4325,53.28,10417553.8,5098523.051530399,240868296,Packaged Foods,Packaged Foods,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
BAJAJ-AUTO,Bajaj Auto Limited,3732,19.24,10559968.6,4213857.5668076,282957358,2/3 Wheelers,2/3 Wheelers,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
SIEMENS,Siemens Limited,3214,67.28,11445705,2868682.1991206,356120255,Heavy Electrical Equipment,Heavy Electrical Equipment,Industrials,NIFTY 500                                         ,21.73,Active
DABUR,Dabur India Limited,537,66.17,9514369.8,3044598.3365376,1771763464,Personal Care,Personal Care,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
TECHM,Tech Mahindra Limited,1088.25,22.32,10599606.23,6792335.2078858,974004708,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
BANKBARODA,Bank of Baroda,173,8.02,8946456.57,3222586.0554656,5171362179,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
INDUSINDBK,IndusInd Bank Limited,1123.8,14.35,8718911.15,7299012.8257738,775841889,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
DLF,DLF Limited,359.5,63.11,8898757.55,2226855.2892615,2475315036,Residential Commercial Projects,Residential Commercial Projects,Consumer Discretionary,NIFTY INFRASTRUCTURE                              ,21.24,Active
DIVISLAB,Divi's Laboratories Limited,2848.45,31.9,7561739.77,3627532.5770112,265468580,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
GODREJCP,Godrej Consumer Products Limited,913,62.14,9337208.25,3465172.9785965,1022695318,Personal Care,Personal Care,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
EICHERMOT,Eicher Motors Limited,3160.05,35.21,8642154.35,4416019.1453124,273481570,2/3 Wheelers,2/3 Wheelers,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
CIPLA,Cipla Limited,880,25.48,7102866.58,4763371.607867,807143930,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
VBL,Varun Beverages Limited,1352,69.47,8781931.14,3159383.3696952,649551120,Other Beverages,Other Beverages,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
HAL,Hindustan Aeronautics Limited,2714,14.83,9075276.75,2266102.2890625,334387500,Aerospace & Defense,Aerospace & Defense,Industrials,NIFTY 500                                         ,21.73,Active
SHREECEM,SHREE CEMENT LIMITED,25470.2,57.73,9189838.68,3413757.060745,36080748,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
AWL,Adani Wilmar Limited,439.45,NA,5711437.63,685372.5155607,1299678605,Edible Oil,Edible Oil,Fast Moving Consumer Goods,NA,NA,Active
INDIGO,InterGlobe Aviation Limited,1855.05,0,7152091.46,2002965.5459268,385547099,Airline,Airline,Services,NIFTY 500                                         ,21.73,Active
SBICARD,SBI Cards and Payment Services Limited,757,NA,7161726.73,2219237.4636578,946066939,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NA,NA,Active
BEL,Bharat Electronics Limited,96.5,23.87,7053936.57,3454638.0234795003,7309778829,Aerospace & Defense,Aerospace & Defense,Industrials,NIFTY 500                                         ,21.73,Active
BPCL,Bharat Petroleum Corporation Limited,324.55,11.16,7040309.78,3168139.4012934,2169252744,Refineries & Marketing,Refineries & Marketing,Energy,NIFTY 500                                         ,21.73,Active
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,714,NA,6633143.18,4309127.63736,929011650,Tea & Coffee,Tea & Coffee,Fast Moving Consumer Goods,NA,NA,Active
DRREDDY,Dr. Reddy's Laboratories Limited,4440,31.31,7393709.16,5396391.6892162,166524981,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
HAVELLS,Havells India Limited,1224.35,66.83,7670671.98,3069897.7162,626509738,Consumer Electronics,Consumer Electronics,Consumer Discretionary,NIFTY INDIA CONSUMPTION                           ,38.01,Active
SRF,SRF Limited,2302,48,6823699.47,3341216.1463249,296424825,Specialty Chemicals,Specialty Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
TATAPOWER,Tata Power Company Limited,210.3,14.51,6719799.07,3561493.5056907,3195339547,Integrated Power Utilities,Integrated Power Utilities,Utilities,NIFTY INFRASTRUCTURE                              ,21.24,Active
MARICO,Marico Limited,501,50.94,6478134.95,2590937.6620104,1293040908,Personal Care,Personal Care,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,405.9,0,5839131.67,1574621.0253947,1438564096,Life Insurance,Life Insurance,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
APOLLOHOSP,Apollo Hospitals Enterprise Limited,4427,62.66,6365346.77,4513373.0641452,143784657,Hospital,Hospital,Healthcare,NIFTY PHARMA                                      ,31.02,Active
BAJAJHLDNG,Bajaj Holdings & Investment Limited,6298,39.98,7009265.26,2739690.076968,111293510,Holding Company,Holding Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
MCDOWELL-N,United Spirits Limited,755,49.9,5491498.94,2253630.0094432,727350853,Breweries & Distilleries,Breweries & Distilleries,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
GAIL,GAIL (India) Limited,109.15,9.38,7176721.26,2939759.9263306,6575099643,Gas Transmission/Marketing,Gas Transmission/Marketing,Energy,NIFTY 500                                         ,21.73,Active
PNB,Punjab National Bank,51.4,36.79,5659662,1525135.7649386,11011015558,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
ICICIGI,ICICI Lombard General Insurance Company Limited,1092,0,5362784.19,2790052.3158308,491097453,General Insurance,General Insurance,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
IOB,Indian Overseas Bank,25.3,25.21,4782310.3,191670.46027580003,18902412256,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
CANBK,Canara Bank,305.8,6.86,5547610.31,2051608.9726381,1814130252,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,767.2,26.32,6305875.01,3034191.3517238,821933656,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
YESBANK,Yes Bank Limited,16.9,57.8,4859492.85,2138052.6817879,28754395584,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
JINDALSTEL,Jindal Steel & Power Limited,582,0,5936912.72,2195525.4102920997,1020088097,Iron & Steel,Iron & Steel,Commodities,NIFTY 500                                         ,21.73,Active
IDBI,IDBI Bank Limited,49.25,17.62,5295558.07,264509.093505,10752402175,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
ABB,ABB India Limited,3325,84.85,7045953.47,1758018.3675469,211908375,Heavy Electrical Equipment,Heavy Electrical Equipment,Industrials,NIFTY INFRASTRUCTURE                              ,21.24,Active
BERGEPAINT,Berger Paints (I) Limited,589,67.57,5721542.68,1423755.1617218,971399436,Paints,Paints,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
UNIONBANK,Union Bank of India,72.1,7.82,4927852.92,838896.9039767999,6834747466,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
HEROMOTOCO,Hero MotoCorp Limited,2481,18.36,4958023.4,3220876.9106157003,199839718,2/3 Wheelers,2/3 Wheelers,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
UPL,UPL Limited,712.6,28.95,5348830.05,3789408.8982447,750607641,Pesticides & Agrochemicals,Pesticides & Agrochemicals,Commodities,NIFTY 500                                         ,21.73,Active
TIINDIA,Tube Investments of India Limited,2765,97.33,5339049.87,2881036.7997768,193094028,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
LODHA,Macrotech Developers Limited,985,NA,4745226,1193579.3056031,481748832,Residential Commercial Projects,Residential Commercial Projects,Consumer Discretionary,NA,NA,Active
TORNTPHARM,Torrent Pharmaceuticals Limited,1504.7,48.18,5092588.54,1372942.8485856,338445440,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
PIIND,PI Industries Limited,3099,42.81,4701744.48,2490316.3606638,151718118,Pesticides & Agrochemicals,Pesticides & Agrochemicals,Commodities,NIFTY 500                                         ,21.73,Active
TVSMOTOR,TVS Motor Company Limited,1100,37.52,5225958.25,2557227.6541721,475087114,2/3 Wheelers,2/3 Wheelers,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
INDUSTOWER,Indus Towers Limited,166,NA,4473595.34,1389320.8458335001,2694936950,Telecom - Infrastructure,Telecom - Infrastructure,Telecommunication,NA,NA,Active
IRCTC,Indian Railway Catering And Tourism Corporation Limited,615.8,NA,4926400,1872032,800000000,Tour Travel Related Services,Tour Travel Related Services,Consumer Discretionary,NA,NA,Active
BOSCHLTD,Bosch Limited,18115,41.54,5342772.89,1547766.2076426002,29493640,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
NAUKRI,Info Edge (India) Limited,3550,128.67,4586036.26,2753249.475912,129184120,Internet & Catalogue Retail,Internet & Catalogue Retail,Consumer Discretionary,NIFTY IT                                          ,26.74,Active
ZOMATO,Zomato Limited,53.8,NA,4601788.26,1845466.4820904,8553509770,E-Retail/ E-Commerce,E-Retail/ E-Commerce,Consumer Discretionary,NA,NA,Active
MOTHERSON,Samvardhana Motherson International Limited,83.4,NA,5651535.42,1578635.1214234,6776421366,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NA,NA,Active
TRENT,Trent Limited,1320,88.47,4692434.49,2968327.4090992,355487461,Speciality Retail,Speciality Retail,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
PAGEIND,Page Industries Limited,37403,60.87,4171883.49,2246935.5364999,11153874,Garments & Apparels,Garments & Apparels,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
JSWENERGY,JSW Energy Limited,268.2,68.43,4411020.14,1107894.6468564998,1644675668,Power Generation,Power Generation,Utilities,NIFTY INFRASTRUCTURE                              ,21.24,Active
PGHH,Procter & Gamble Hygiene and Health Care Limited,13913.15,89.98,4516310.89,1315670.1484080001,32460736,Personal Care,Personal Care,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
HDFCAMC,HDFC Asset Management Company Limited,1800.4,26.67,3841792.13,1417981.3700785998,213385477,Asset Management Company,Asset Management Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
ACC,ACC Limited,1865.1,56.16,3502420.24,1506605.9438132,187787263,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
INDHOTEL,The Indian Hotels Company Limited,319.25,71.74,4534628.09,2815430.8671083003,1420400342,Hotels & Resorts,Hotels & Resorts,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
CONCOR,Container Corporation of India Limited,602,32.13,3667951.97,1651263.8448735,609294348,Logistics Solution Provider,Logistics Solution Provider,Services,NIFTY 500                                         ,21.73,Active
UBL,United Breweries Limited,1460.7,131.13,3862166.01,1044105.5268089,264405149,Breweries & Distilleries,Breweries & Distilleries,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
NYKAA,FSN E-Commerce Ventures Limited,149.2,NA,4252692.07,2045289.8074752,2850329805,E-Retail/ E-Commerce,E-Retail/ E-Commerce,Consumer Discretionary,NA,NA,Active
AUBANK,AU Small Finance Bank Limited,625.95,31.74,4172613.39,2996795.0848809998,666604903,Other Bank,Other Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
PATANJALI,Patanjali Foods Limited,1002.05,NA,3627369.42,689200.1906524,361994853,Edible Oil,Edible Oil,Fast Moving Consumer Goods,NA,NA,Active
SCHAEFFLER,Schaeffler India Limited,3000.05,53.19,4689188.25,1222379.1033818,156303670,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY INFRASTRUCTURE                              ,21.24,Active
MUTHOOTFIN,Muthoot Finance Limited,952.5,10.15,3823785.49,1032827.2296603,401447296,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
MAXHEALTH,Max Healthcare Institute Limited,430,NA,4174701.91,3178226.4852802004,970860909,Hospital,Hospital,Healthcare,NA,NA,Active
IRFC,Indian Railway Finance Corporation Limited,28.3,NA,3698387.2,515944.61688,13068506000,Financial Institution,Financial Institution,Financial Services,NA,NA,Active
ZYDUSLIFE,Zydus Lifesciences Limited,476.2,NA,4820116.11,1204902.5019621002,1012204139,Pharmaceuticals,Pharmaceuticals,Healthcare,NA,NA,Active
ASHOKLEY,Ashok Leyland Limited,146.05,27.83,4288213.89,2100505.4532504003,2936127276,Commercial Vehicles,Commercial Vehicles,Industrials,NIFTY 500                                         ,21.73,Active
COLPAL,Colgate Palmolive (India) Limited,1510,38.71,4106983.07,2010555.8845167998,271985634,Personal Care,Personal Care,Fast Moving Consumer Goods,NIFTY FMCG                                        ,39.82,Active
CGPOWER,CG Power and Industrial Solutions Limited,298.75,70.21,4562200.6,1913533.9678892002,1527096434,Heavy Electrical Equipment,Heavy Electrical Equipment,Industrials,NIFTY 500                                         ,21.73,Active
BALKRISIND,Balkrishna Industries Limited,2060,33.1,3982334.11,1671037.6567038,193317190,Tyres & Rubber Products,Tyres & Rubber Products,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
BHARATFORG,Bharat Forge Limited,829,36.14,3859729.76,2120034.5563804,465588632,Castings & Forgings,Castings & Forgings,Industrials,NIFTY 500                                         ,21.73,Active
NHPC,NHPC Limited,39.9,10.45,4007968.89,1083507.6792413,10045034805,Power Generation,Power Generation,Utilities,NIFTY INFRASTRUCTURE                              ,21.24,Active
SOLARINDS,Solar Industries India Limited,3770,93.79,3411475.07,919864.4379450999,90490055,Explosives,Explosives,Commodities,NIFTY INFRASTRUCTURE                              ,21.24,Active
ASTRAL,Astral Limited,1921.1,107.36,3870222.68,1704981.0629392,201458679,Plastic Products - Industrial,Plastic Products - Industrial,Industrials,NIFTY 500                                         ,21.73,Active
TATAELXSI,Tata Elxsi Limited,6250,56.57,3892277.5,2175368.3614096,62276440,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY 500                                         ,21.73,Active
LTTS,L&T Technology Services Limited,3706,40.53,3913594.26,1019466.4942839,105601572,IT Enabled Services,IT Enabled Services,Information Technology,NIFTY IT                                          ,26.74,Active
POLYCAB,Polycab India Limited,3064,NA,4587790.17,1330906.9362681,149732055,Cables - Electricals,Cables - Electricals,Industrials,NA,NA,Active
CUMMINSIND,Cummins India Limited,1634.9,44.32,4531942.8,2213113.518,277200000,Compressors Pumps & Diesel Engines,Compressors Pumps & Diesel Engines,Industrials,NIFTY 500                                         ,21.73,Active
BANDHANBNK,Bandhan Bank Limited,232.3,868.83,3741970.83,1758337.0198145001,1610835484,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
UCOBANK,UCO Bank,27.3,20.04,3263976.58,162899.93014799998,11955958176,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
MRF,MRF Limited,86650,65.13,3674950.41,1802083.7782607002,4241143,Tyres & Rubber Products,Tyres & Rubber Products,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
PFC,Power Finance Corporation Limited,161.9,3.73,4274291.8,1878945.9380736,2640081408,Financial Institution,Financial Institution,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
SHRIRAMFIN,Shriram Finance Limited,1242.9,NA,4653756.61,3454724.4031964,374427276,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NA,NA,Active
MPHASIS,MphasiS Limited,2143,29.01,4036964.01,1771967.1316147,188379095,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NIFTY IT                                          ,26.74,Active
HONAUT,Honeywell Automation India Limited,35600,78.23,3147582.19,783786.6464751,8841523,Industrial Products,Industrial Products,Industrials,NIFTY AUTO                                        ,32.25,Active
IDFCFIRSTB,IDFC First Bank Limited,57.2,17.78,3569174.24,1745699.2292904998,6239815112,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
TATACOMM,Tata Communications Limited,1210.4,33.28,3449640,1415579.325,285000000,Telecom - Cellular & Fixed line services,Telecom - Cellular & Fixed line services,Telecommunication,NIFTY 500                                         ,21.73,Active
ABCAPITAL,Aditya Birla Capital Limited,156.45,97.84,3781859.95,944087.90625,2417296229,Life Insurance,Life Insurance,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
BANKINDIA,Bank of India,82,8.8,3364924.18,632708.334503,4103566070,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
NMDC,NMDC Limited,114.45,6.57,3354078.4,1304090.2971915,2930605850,Industrial Minerals,Industrial Minerals,Commodities,NIFTY METAL                                       ,12.23,Active
ALKEM,Alkem Laboratories Limited,3160.85,39.49,3779270.3,1547834.087925,119565000,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
INDIANB,Indian Bank,286.6,8.47,3569434.3,714385.0373304,1245441139,Public Sector Bank,Public Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
DALBHARAT,Dalmia Bharat Limited,1827.1,173.75,3425453.68,1508102.7750386,187480361,Cement & Cement Products,Cement & Cement Products,Commodities,NIFTY COMMODITIES                                 ,13.82,Active
PAYTM,One 97 Communications Limited,625,NA,4049027.42,568758.4829172,647844387,Financial Technology (Fintech),Financial Technology (Fintech),Financial Services,NA,NA,Active
FLUOROCHEM,Gujarat Fluorochemicals Limited,3218.5,NA,3535522.25,1207343.774,109850000,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
SAIL,Steel Authority of India Limited,87.4,8.53,3610079.1,1264250.5278307002,4130525289,Iron & Steel,Iron & Steel,Commodities,NIFTY METAL                                       ,12.23,Active
GODREJPROP,Godrej Properties Limited,1168,51.56,3247284.86,1328993.0319032,278020964,Residential Commercial Projects,Residential Commercial Projects,Consumer Discretionary,NIFTY REALTY                                      ,38.26,Active
JUBLFOOD,Jubilant Foodworks Limited,447.8,68.55,2954786.81,1711097.375736,659845200,Restaurants,Restaurants,Consumer Discretionary,NIFTY SERVICES SECTOR                             ,19.96,Active
